Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,548.809998,551.809998,538.239990,539.809998,539.809998,5391100
2020-10-13,540.559998,557.650024,537.200012,554.090027,554.090027,5602500
2020-10-14,562.609985,572.489990,541.000000,541.450012,541.450012,9499000
2020-10-15,545.520020,551.219971,535.099976,541.940002,541.940002,5113100
2020-10-16,549.500000,554.330017,530.030029,530.789978,530.789978,6347400
2020-10-19,537.070007,541.799988,525.380005,530.719971,530.719971,7567500
2020-10-20,528.140015,533.780029,522.260010,525.419983,525.419983,10047200
2020-10-21,501.029999,506.850006,488.250000,489.049988,489.049988,17405700
2020-10-22,494.690002,495.140015,482.000000,485.230011,485.230011,6997900
2020-10-23,488.109985,490.059998,481.350006,488.279999,488.279999,4927900
2020-10-26,487.029999,496.820007,478.899994,488.239990,488.239990,6186100
2020-10-27,490.010010,490.489990,482.929993,488.929993,488.929993,3627200
2020-10-28,486.359985,494.000000,483.279999,486.239990,486.239990,5992700
2020-10-29,488.500000,513.900024,479.339996,504.209991,504.209991,11120700
2020-10-30,502.010010,505.880005,472.209991,475.739990,475.739990,7807900
2020-11-02,478.869995,486.299988,475.000000,484.119995,484.119995,4408200
2020-11-03,484.929993,495.309998,478.760010,487.220001,487.220001,3690200
2020-11-04,495.359985,507.730011,493.980011,496.950012,496.950012,5137300
2020-11-05,506.559998,518.729980,503.450012,513.760010,513.760010,5372800
2020-11-06,515.000000,515.210022,502.510010,514.729980,514.729980,4236300
2020-11-09,485.540009,495.850006,467.260010,470.500000,470.500000,10419700
2020-11-10,470.950012,484.600006,463.410004,480.239990,480.239990,8306100
2020-11-11,483.000000,491.679993,478.260010,490.760010,490.760010,5460500
2020-11-12,491.000000,496.519989,480.429993,486.769989,486.769989,5063700
2020-11-13,486.769989,488.940002,477.799988,482.839996,482.839996,3002700
2020-11-16,480.000000,485.579987,477.299988,479.100006,479.100006,3953600
2020-11-17,480.119995,487.510010,478.850006,480.630005,480.630005,3698100
2020-11-18,481.950012,488.609985,477.720001,481.790009,481.790009,3629200
2020-11-19,482.000000,487.799988,480.470001,484.670013,484.670013,2254700
2020-11-20,485.220001,494.760010,481.570007,488.239990,488.239990,4253400
2020-11-23,490.459991,491.149994,475.839996,476.619995,476.619995,5416600
2020-11-24,478.839996,484.049988,475.890015,482.880005,482.880005,3550500
2020-11-25,485.130005,486.899994,478.920013,485.000000,485.000000,3598600
2020-11-27,486.579987,493.250000,481.850006,491.359985,491.359985,2805800
2020-11-30,490.079987,492.549988,481.269989,490.700012,490.700012,3530900
2020-12-01,492.339996,509.470001,491.980011,504.579987,504.579987,5052700
2020-12-02,501.619995,506.799988,493.500000,503.380005,503.380005,3028400
2020-12-03,502.989990,508.769989,496.040009,497.519989,497.519989,2826100
2020-12-04,497.500000,504.500000,493.640015,498.309998,498.309998,3666200
2020-12-07,500.010010,517.760010,497.769989,515.780029,515.780029,4289300
2020-12-08,517.900024,521.489990,505.549988,512.659973,512.659973,4229000
2020-12-09,510.529999,514.500000,491.290009,493.600006,493.600006,4178800
2020-12-10,494.559998,503.769989,492.910004,501.089996,501.089996,3018200
2020-12-11,495.000000,503.339996,494.850006,503.220001,503.220001,3210900
2020-12-14,505.440002,524.159973,501.179993,522.419983,522.419983,5770400
2020-12-15,518.500000,524.700012,513.559998,519.780029,519.780029,3394900
2020-12-16,520.109985,527.380005,517.690002,524.830017,524.830017,3682400
2020-12-17,529.000000,535.489990,526.440002,532.900024,532.900024,3193400
2020-12-18,533.200012,536.369995,526.020020,534.450012,534.450012,4502700
