"ANIO","CCDD","CCPP","CCDI","CONGLOMERADO","NSELUA","UA","Plaguicidas","Fertilizantes","GastoInsumos","Credito","Riego","sup_sembrada_ha","Produccion_t","Rendimiento","tamanoUA","GastoJornal","CantJornaleros","JornalPC","GastoMaq"
2019,"10","01","01","10109","00006","1",1,1,790,0,1,0.8,4.8,12,2,350,5,70,80
2019,"10","01","01","10109","00024","2",1,1,313,0,1,0.25,3.077,22.1878787878788,1,510,4,127.5,40
2019,"10","01","01","10109","00030","3",1,1,1090,0,1,0.45,4.15,13.6428571428571,1,0,0,0,0
2019,"10","01","01","10109","00033","4",1,1,558,0,1,0.3,2.72,30.65,1,360,2,180,0
2019,"10","01","01","10109","00039","5",1,1,31,0,1,0,0.09,10,1,0,0,0,0
2019,"10","01","01","10109","00045","6",0,1,300,0,1,0,6.35,16.0353535353535,1,700,5,140,480
2019,"10","01","01","10109","00074","8",1,1,544,0,1,0.3,2.35,13.5,1,60,1,60,0
2019,"10","01","01","10109","00105","10",1,1,870,0,1,0.375,3.4,27.2,1,180,6,30,60
2019,"10","01","01","10109","00122","11",0,0,0,0,1,0,0.079,37.5833333333333,1,0,0,0,0
2019,"10","01","01","10109","00123","12",1,1,14238,0,1,9,59.626,61.9833333333333,4,300,1,300,0
2019,"10","01","01","10109","00137","13",1,1,298,0,1,0.35,2.9,32,1,630,8,78.75,0
2019,"10","01","01","10109","00155","14",1,1,717,0,1,0.475,2.71,28.1333333333333,1,245,1,245,0
2019,"10","01","01","10110","00012","1",1,1,3430,0,1,2.198,8.94,22.8251256281407,3,300,4,75,0
2019,"10","01","01","10110","00020","2",1,1,2290,0,1,1.35,14.1,46.5666666666667,2,400,4,100,0
2019,"10","01","01","10110","00037","4",1,1,1780,0,1,1,1.68,1.68,2,600,9,66.6666666666667,100
2019,"10","01","01","10110","00038","5",1,1,80,0,1,0,0.72,10.2857142857143,1,0,0,0,0
2019,"10","01","01","10110","00045","6",0,0,0,0,1,0,5.25,8.17307692307692,3,160,4,40,80
2019,"10","01","01","10110","00052","7",1,1,2585,0,1,1,4.8,9.6,1,600,12,50,300
2019,"10","01","01","10110","00062","8",1,1,1860,0,1,0.65,5.26,21.6,3,200,2,100,0
2019,"10","01","01","10110","00073","1",1,1,850,0,1,0.25,3,12,3,240,6,40,150
2019,"10","01","01","10110","00075","3",1,1,950,0,1,0.5,2.566,15.5333333333333,3,160,4,40,0
2019,"10","01","01","10110","00078","4",1,1,5345,0,1,2.25,25.5,96.9,3,9600,6,1600,100
2019,"10","01","01","10110","00082","9",1,1,990,0,1,0.3,9.9,32.6666666666667,2,200,2,100,0
2019,"10","01","01","10110","00089","10",1,1,1230,0,1,0.25,9.4,24.8,3,200,4,50,0
2019,"10","01","01","10110","00091","11",1,1,310,0,1,0.25,1.4,5.6,5,100,2,50,0
2019,"10","01","01","10110","00093","12",1,1,650,0,1,0.3,0.9,6,1,0,0,0,0
2019,"10","01","01","10110","00099","13",1,1,500,0,1,0.3,0.4,2.66666666666667,1,0,0,0,0
2019,"10","01","01","10110","00104","14",1,1,554,0,1,0,14.4,28.8,5,0,0,0,0
2019,"10","01","01","10115","00011","2",1,1,5562,0,1,1.9,55.77,143.66,2,2000,11,181.818181818182,13050
2019,"10","01","01","10115","00014","3",1,1,573,1,1,0,5.15,25.75,1,350,2,175,0
2019,"10","01","01","10115","00019","4",1,1,147,0,1,0.12,3.8,63.3333333333333,1,90,1,90,0
2019,"10","01","01","10115","00033","6",0,1,215,0,1,0,5.6,61.75,1,0,0,0,0
2019,"10","01","01","10115","00038","7",0,0,0,0,1,0,0.1015,19.25,1,60,1,60,70
2019,"10","01","01","10115","00049","9",1,1,857,0,1,0.473,5.393,166.700854700855,3,450,5,90,225
2019,"10","01","01","10115","00065","11",1,1,1237,0,1,0.25,1.14,18.1666666666667,1,10800,1,10800,900
2019,"10","01","01","10115","00068","12",1,1,263,0,1,0.08,0.59,29,1,250,1,250,70
2019,"10","01","01","10115","00073","13",1,1,705,0,1,0,11.461,57.2,3,350,2,175,180
2019,"10","01","01","10115","00080","14",1,1,794,0,1,0.9,3.541,60.6666666666667,2,900,10,90,400
2019,"10","01","02","10116","00020","2",0,0,2,0,1,0,0.015,15,1,0,0,0,0
2019,"10","01","02","10116","00045","5",1,1,920,0,1,0.47,3.66,62.7428571428571,1,0,0,0,360
2019,"10","01","02","10116","00070","6",1,1,569,0,1,0.27,3.594,89.2,1,200,1,200,360
2019,"10","01","02","10116","00072","7",1,1,1065,0,1,0.8,11.05,70.1666666666667,2,500,3,166.666666666667,0
2019,"10","01","02","10116","00086","8",0,0,0,0,1,0,0.035,17.5,2,500,6,83.3333333333333,430
2019,"10","01","02","10116","00100","9",0,0,41,0,1,0.2,0.733,10.15,1,0,0,0,0
2019,"10","01","02","10116","00101","10",0,0,1,0,1,0.001,0.024,9,1,0,0,0,0
2019,"10","01","02","10116","00102","11",0,1,1110,0,1,1.2,6.595,27.65,3,0,0,0,500
2019,"10","01","02","10116","00118","12",0,0,4,0,1,0.001,0.0332,25.2,1,400,1,400,0
2019,"10","01","02","10116","00126","13",1,0,16,0,1,0,0.225,45,3,0,0,0,0
2019,"10","01","02","10116","00148","14",1,1,951,0,1,0.77,5.022,54.9261904761905,1,1500,4,375,0
2019,"10","01","02","10122","00001","1",1,1,4000,0,1,1,11,22,5,760,8,95,210
2019,"10","01","02","10122","00017","2",1,0,630,0,1,0.125,1.6,12.8,2,120,2,60,100
2019,"10","01","02","10122","00023","3",0,0,132,0,1,0.2,0.25,1.25,1,100,1,100,70
2019,"10","01","02","10122","00035","4",1,1,912,0,1,0.625,3.3,13.8,2,180,2,90,100
2019,"10","01","02","10122","00046","5",1,1,910,0,1,0.5,4.35,17.4,1,150,1,150,60
2019,"10","01","02","10122","00053","6",1,1,600,0,1,0.125,1.54,12.32,1,240,4,60,70
2019,"10","01","02","10122","00068","7",1,1,3213,0,1,2,17.2,17.2,4,1920,10,192,180
2019,"10","01","02","10122","00081","9",1,1,3250,0,1,1.25,13.44,32.48,3,480,5,96,140
2019,"10","01","02","10122","00103","10",1,1,2085,0,1,1.125,14.95,31.1,3,2250,12,187.5,250
2019,"10","01","02","10122","00107","11",1,1,796,0,1,0.201,3.08,30.2105263157895,2,1550,10,155,300
2019,"10","01","02","10122","00115","12",0,1,414,0,1,0.375,2.31,17.08,2,380,4,95,60
2019,"10","01","02","10122","00127","13",0,0,72,0,1,0.2,0.25,1.25,1,0,0,0,70
2019,"10","01","02","10122","00140","14",1,1,12705,0,1,4.5,39.84,39.28,5,3600,20,180,1000
2019,"10","01","03","10000","00015","2",0,0,0,0,0,0,1.3,13,1,0,0,0,0
2019,"10","01","03","10000","00026","3",0,1,400,0,0,0,6.9,14.4,3,0,0,0,0
2019,"10","01","03","10000","00031","4",0,1,2120,0,0,0,5.75,17.375,4,2100,1,2100,300
2019,"10","01","03","10000","00050","5",0,0,0,0,0,0,1,8,1,0,0,0,0
2019,"10","01","03","10000","00085","7",0,1,140,0,1,0.1,3.75,19.5,1,0,0,0,0
2019,"10","01","03","10000","00097","8",1,1,900,0,0,0,6.9,14.8,3,400,1,400,0
2019,"10","01","03","10000","00100","9",0,1,1000,0,0,0.5,15.1,19,5,1500,2,750,200
2019,"10","01","03","10000","00102","10",0,1,1040,0,0,2.25,15.45,21.4,4,800,2,400,0
2019,"10","01","03","10000","00118","11",1,1,1665,0,0,0.5,3.4,4.7,4,800,2,400,280
2019,"10","01","03","10000","00152","13",1,1,3320,0,0,3.5,20.25,25.75,5,1000,2,500,700
2019,"10","01","03","10000","00165","14",0,1,850,0,0,0,3.8,12.8,4,500,1,500,0
2019,"10","01","03","10007","00009","1",1,1,2660,0,1,1,9.3,9.3,3,2275,10,227.5,390
2019,"10","01","03","10007","00014","2",1,1,5236,0,1,1.625,25.04,82.98,3,820,9,91.1111111111111,560
2019,"10","01","03","10007","00018","3",1,1,850,0,1,0.25,6.2,24.8,1,700,10,70,690
2019,"10","01","03","10007","00030","4",1,1,2415,0,1,0.4375,8,34.6666666666667,2,3300,10,330,860
2019,"10","01","03","10007","00033","5",1,1,3560,0,1,0.75,26,34.6666666666667,2,4200,20,210,0
2019,"10","01","03","10007","00043","6",1,1,3024,0,1,0.5,12,24,1,2475,23,107.608695652174,480
2019,"10","01","03","10007","00046","7",1,1,2515,0,0,0.5,13.3,26.6,1,1200,17,70.5882352941177,220
2019,"10","01","03","10007","00061","8",1,1,3829,0,1,1.5,17.27,59.0266666666667,2,3500,5,700,640
2019,"10","01","03","10007","00078","10",1,1,6190,0,1,1.5,17.8,19.6,2,2400,24,100,600
2019,"10","01","03","10007","00086","11",1,1,2487,0,0,0.5,20.5,41,2,3450,20,172.5,440
2019,"10","01","03","10007","00092","12",1,1,2599,0,1,1,10.29,35.07,1,1700,13,130.769230769231,120
2019,"10","01","03","10007","00096","14",1,1,6039,0,1,2.225,33.135,46.8298039215686,3,4250,10,425,2830
2019,"10","01","03","10008","00036","3",1,1,1710,0,1,0.9,1.5,1.66666666666667,2,900,12,75,0
2019,"10","01","03","10008","00044","4",1,1,20800,1,0,4,90,45,4,10000,30,333.333333333333,0
2019,"10","01","03","10008","00047","5",1,1,13050,1,1,2.9,72,74,3,3000,8,375,0
2019,"10","01","03","10008","00053","6",1,1,4770,0,1,3,20.5,20.5,3,700,8,87.5,50
2019,"10","01","03","10008","00063","7",1,1,2413,0,1,0.5,19.2,38.4,3,1150,12,95.8333333333333,50
2019,"10","01","03","10008","00066","8",1,1,3815,0,1,2.5,21.5,25.6666666666667,3,1050,3,350,300
2019,"10","01","03","10008","00077","9",1,1,3320,0,1,2,7.5,7.5,3,600,8,75,140
2019,"10","01","03","10008","00091","10",1,1,9000,0,1,2,50,25,3,2500,12,208.333333333333,0
2019,"10","01","03","10008","00097","11",1,1,8550,0,0,2.25,35,45.3333333333333,3,800,12,66.6666666666667,0
2019,"10","01","03","10008","00105","13",1,1,6995,0,1,1.775,39.366,60.12,4,300,10,30,0
2019,"10","01","03","10008","00109","14",1,1,4350,0,1,1.5,7.25,6.5,3,500,12,41.6666666666667,0
2019,"10","01","03","10019","00005","1",1,1,4409,0,1,1.75,15.865,34.96,4,1000,18,55.5555555555556,700
2019,"10","01","03","10019","00006","2",1,1,1250,0,1,0.5,6.4,12.8,1,250,5,50,160
2019,"10","01","03","10019","00025","3",1,1,678,0,1,1,2.608,9.552,3,0,0,0,100
2019,"10","01","03","10019","00031","4",1,1,1540,0,1,0.65625,1.41,13.08,2,255,7,36.4285714285714,0
2019,"10","01","03","10019","00038","5",0,1,170,0,0,0.125,0.29,2.32,1,0,0,0,0
2019,"10","01","03","10019","00041","6",1,1,6502,0,1,2.25,23.263,50.167,4,4800,20,240,0
2019,"10","01","03","10019","00051","7",1,1,3900,0,1,2.5,10.15,21.7,4,7000,17,411.764705882353,460
2019,"10","01","03","10019","00066","8",1,1,1128,0,1,0.25,3.61,28.88,1,370,12,30.8333333333333,240
2019,"10","01","03","10019","00068","9",1,1,1025,0,1,0.375,3.7,26,2,360,7,51.4285714285714,120
2019,"10","01","03","10019","00080","10",1,1,1404,0,1,0.1875,4.85,25.8666666666667,2,1250,14,89.2857142857143,210
2019,"10","01","03","10019","00091","11",1,1,765,0,1,0.375,1.72,8.96,1,150,2,75,0
2019,"10","01","03","10019","00103","12",0,0,700,0,1,0.5,5.4,10.8,2,680,3,226.666666666667,0
2019,"10","01","03","10019","00116","13",1,1,1005,0,1,0.25,3.15,25.2,3,420,9,46.6666666666667,140
2019,"10","01","03","10019","00133","14",1,1,4160,0,1,2,20.4,20.4,4,1180,17,69.4117647058823,240
2019,"10","01","03","10024","00032","1",1,1,1053,0,1,0.475,3.915,32.5,2,800,16,50,140
2019,"10","01","03","10024","00040","2",1,1,831,0,1,0.45,4.8395,34.75,2,1000,25,40,140
2019,"10","01","03","10024","00061","3",1,0,105,0,0,0.1,0.96,7.8,3,800,20,40,0
2019,"10","01","03","10024","00089","4",1,1,5136,0,1,2.25,15.54,31.8,4,3800,80,47.5,1200
2019,"10","01","03","10024","00117","5",1,1,3994,0,1,1,25,25,3,2000,10,200,140
2019,"10","01","03","10024","00141","6",1,1,6874,0,1,1.95,18.55,55.3,4,6400,30,213.333333333333,500
2019,"10","01","03","10024","00166","7",1,1,670,0,1,0.5,2.1,8.4,3,1200,25,48,140
2019,"10","01","03","10024","00184","8",1,1,1445,0,1,0.635,6.795,62.1666666666667,5,1200,2,600,85
2019,"10","01","03","10024","00210","9",1,1,1129,0,1,0.25,2.7,21,1,400,10,40,75
2019,"10","01","03","10024","00220","10",1,1,1280,0,1,0.625,5.62,50.8066666666667,3,7250,30,241.666666666667,670
2019,"10","01","03","10024","00235","11",1,1,1573,0,1,0.25,5,20,2,1200,20,60,1610
2019,"10","01","03","10024","00263","12",1,1,15118,0,1,4.5,65.44,84.2133333333333,4,5800,45,128.888888888889,700
2019,"10","01","03","10024","00290","13",0,1,106,0,1,0.31,1.297,24.35,3,200,5,40,0
2019,"10","01","03","10024","00292","14",1,1,4250,0,1,0.95,8.4,12.3,2,1600,32,50,140
2019,"10","01","04","10037","00005","1",0,0,16,0,0,0.04,0.125,11.5,1,0,0,0,0
2019,"10","01","04","10037","00030","2",1,1,91,0,1,0.04,0.496,30.5,1,400,1,400,100
2019,"10","01","04","10037","00056","3",1,1,2918,0,0,0.73,9.586,42.59,4,120,1,120,580
2019,"10","01","04","10037","00080","4",1,1,228,0,1,0.06,0.606,37,1,60,1,60,60
2019,"10","01","04","10037","00108","5",1,1,1014,0,0,0.2,3.068,46.45,2,200,2,100,120
2019,"10","01","04","10037","00131","6",1,1,312,0,1,0.131,0.933,34.3,1,100,1,100,60
2019,"10","01","04","10037","00144","7",1,1,1116,1,1,0.171,2.518,53.525,1,0,0,0,100
2019,"10","01","04","10037","00165","8",1,1,2471,0,1,0.774,10.508,41.4777777777778,2,200,3,66.6666666666667,120
